Numero du fichier 	 Temps Methode Incomplete 	 Temps Methode Complete 
0	0.0009238719940185547	0.0007398128509521484
1	0.0010640621185302734	0.0010437965393066406
2	0.07827496528625488	0.04790306091308594
3	0.030364036560058594	0.0299530029296875
4	0.09025216102600098	0.09100890159606934
5	0.06907916069030762	0.06840896606445312
6	0.1595301628112793	0.1595001220703125
7	0.09858322143554688	0.09847235679626465
8	0.15242576599121094	0.15248799324035645
9	1.7566149234771729	1.749669075012207
10	1.7017951011657715	1.725308895111084
11	6.413459777832031e-05	0.00011777877807617188
12	0.1500260829925537	0.165435791015625
13	0.1944139003753662	0.19623303413391113
14	0.12096118927001953	0.1306147575378418
15	0.08666419982910156	0.17003488540649414
16	0.3293750286102295	19.861300945281982
